"DataFeedWatch","DataFeedWatch"
"Settings","Settings"
"General Configuration","General Configuration"
"Go To My DataFeedWatch","Go To My DataFeedWatch"
"Refresh DataFeedWatch Access","Refresh DataFeedWatch Access"
"Refresh DataFeedWatch access: SOAP user and role","Refresh DataFeedWatch access: SOAP user and role"
"Add Store To DataFeedWatch","Add Store To DataFeedWatch"
"Get all product data with next download","Get all product data with next download"
"Inheritance","Inheritance"
"Inherit Product Url In Child Products","Inherit Product Url In Child Products"
"Please save after change","Please save after change"
"Inherit Image Url In Child Products","Inherit Image Url In Child Products"
"Please save after change","Please save after change"
"Restore Original Config","Restore Original Config"
"Reset Inheritance Logic Configuration","Reset Inheritance Logic Configuration"
"Attributes","Attributes"
"Add Store","Add Store"
"Refresh","Refresh"
"Open","Open"
"Restore","Restore"
"Get All","Get All"
"All product data will be imported with next download","All product data will be imported with next download"
"Original inheritance configuration has been restored","Original inheritance configuration has been restored"
"%1 user has been refreshed","%1 user has been refreshed"
"Child","Child"
"Parent","Parent"
"Child Then Parent","Child Then Parent"
"Import To DataFeedWatch","Import To DataFeedWatch"
"DataFeedWatch Inheritance","DataFeedWatch Inheritance"
"Name","Name"
"Import","Import"
"Every change saves automatically","Every change saves automatically"
"Page","Page"
"Previous page","Previous page"
"Next page","Next page"
"of %1 pages","of %1 pages"
"View","View"
"per page","per page"
"Total %1 records found","Total %1 records found"
"Yes","Yes"
"No","No"
